Hotel,Average_Rating
Chelsea Inn - 17th Street,4.458333333333333
Chelsea Lodge,4.665505226480836
Chelsea Motor Inn,4.209150326797386
Chelsea Pines Inn,4.886075949367089
Chelsea Savoy Hotel,4.514619883040936
Chelsea Star Hotel,4.3271889400921655
Chestnut Hill Hotel,4.655172413793103
Chicago Athletic Association,3.0
Chicago Marriott O'Hare,4.37037037037037
Chicago Marriott at Medical District/UIC,3.6779661016949152
Chicago South Loop Hotel,3.4750656167979
Chicago's Essex Inn,4.332589285714286
Chinatown Hotel,3.8275862068965516
Chocolat Hostel,3.4227642276422765
Churchill Hotel San Diego,4.0
City Center Hotel,3.4
City Center Inn,2.857142857142857
City Club Hotel,4.720379146919432
City Suites Hotel,4.516393442622951
Civic Center Inn,2.4523809523809526
Civic Center Motor Inn,3.4074074074074074
Clarion Hotel,3.048780487804878
Clarion Hotel & Conference Center,3.1538461538461537
Clarion Hotel & Suites Conference Center,2.760869565217391
Clarion Hotel Airport,3.4347826086956523
Clarion Hotel Midway Airport,3.372549019607843
Clarion Hotel Park Avenue,4.1923076923076925
Clarion Hotel Phoenix Tech Center,3.942857142857143
Clarion Hotel Seattle Airport,3.9894736842105263
Clarion Inn,4.2272727272727275
Clarion Inn & Suites Northwest,3.764705882352941
Clarion Inn Silicon Valley,3.56
Cliff Inn,3.3333333333333335
Club Quarters,4.5426944971537
Club Quarters Boston,4.533175355450237
Club Quarters Chicago - Central Loop,4.5625
Club Quarters Chicago -- Wacker at Michigan,4.929292929292929
Club Quarters Midtown,4.644599303135888
Club Quarters San Francisco,4.253112033195021
Club Quarters Wall Street,4.083798882681564
Club Quarters World Trade Center,4.2100840336134455
Club Quarters in Houston,4.295454545454546
"Club Quarters, opposite Rockefeller Center",4.798283261802575
Coast Gateway Hotel,4.473282442748092
Coast Phoenix Sky Harbor Hotel,3.964497041420118
Colonial Inn & Suites,2.6666666666666665
Colonnade Hotel,4.761160714285714
Colony Inn North Hollywood,2.2
Columbia Club,4.785714285714286
